"Timestamp","  1. Age Group  ","  2. Current Status  ","  3. City  ","4. Have you ever unexpectedly needed a sanitary pad when you didn't have one?  ","5. How many times has this happened approximately?  ","6. Where did it most commonly happen?  ","7. What did you do in that situation?  ","8. How difficult was it to find a sanitary pad?  ","9. If there were an app that connected women nearby who could provide a sanitary pad in emergencies, would you use it?  ","10. Would you be willing to help another woman nearby if you had spare pads?  ","11. What would make you comfortable helping?  ","12. Do you usually carry extra sanitary pads? ","13. In your experience, are single sanitary pads easily available nearby when needed? ","14. Which places should have free sanitary pad access? ","15. Which feature would be most useful? ","16. Would you recommend such a platform to others?  "
"2026/06/10 9:49:17 PM GMT+5:30","18–21","College Student","Delhi","Yes","3–5 times","College/School;Mall;Public Event","Borrowed from a friend;Bought from a nearby shop","2","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 9:56:41 PM GMT+5:30","26–35","Other","ghaziabad","Yes","1–2 times","Office;Other","Borrowed from a friend;Bought from a nearby shop","2","Definitely Yes","Yes","Other","Always","Sometimes","Colleges;Schools;Metro Stations;Railway Stations;Bus Stands;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 10:00:08 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","3–5 times","College/School;Metro/Bus Station","Borrowed from a friend;Went home","3","Definitely Yes","Yes","Verified users;Women-only platform","Sometimes","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Hospitals","Find nearest pad vending machine","5"
"2026/06/10 10:01:06 PM GMT+5:30","18–21","College Student","New Delhi ","No","Never","Other","Other","3","Definitely Yes","Yes","Verified users","Always","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 10:04:26 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School","Borrowed from a friend","3","Probably Yes","Yes","Public meeting location;Women-only platform;Identity protection","Always","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","Request a pad nearby","4"
"2026/06/10 10:12:07 PM GMT+5:30","18–21","College Student","Faridabad ","Yes","3–5 times","College/School;Mall;Metro/Bus Station;While Traveling;Public Event","Borrowed from a friend;Bought from a nearby shop","3","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","4"
"2026/06/10 10:14:16 PM GMT+5:30","18–21","College Student","New Delhi","Yes","1–2 times","College/School;Office;Mall;Metro/Bus Station;While Traveling;Public Event","Borrowed from a friend;Bought from a nearby shop;Asked a stranger","3","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection","Always","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 10:15:49 PM GMT+5:30","18–21","College Student","Gurugram ","Yes","1–2 times","College/School","Borrowed from a friend","2","Maybe","Yes","Other","Always","Sometimes","","All of the above","3"
"2026/06/10 10:26:25 PM GMT+5:30","Above 35","Working Professional","New Delhi ","Yes","3–5 times","Other","Borrowed from a friend","1","Definitely Yes","Yes","Women-only platform","Always","Often","Schools","Emergency support network","5"
"2026/06/10 10:34:38 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","3–5 times","College/School;Public Event;Other","Borrowed from a friend","3","Definitely Yes","Yes","Women-only platform","Often","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","4"
"2026/06/10 10:45:01 PM GMT+5:30","18–21","College Student","Faridabad ","Yes","1–2 times","College/School;Mall;While Traveling","Borrowed from a friend;Asked a stranger","4","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Sometimes","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 10:56:34 PM GMT+5:30","18–21","College Student","New Delhi","Yes","1–2 times","College/School","Borrowed from a friend","3","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Always","Sometimes","Colleges;Schools;Offices;Metro Stations;Malls;Hospitals","All of the above","5"
"2026/06/10 11:02:08 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School","Bought from a nearby shop","3","Definitely Yes","Yes","Women-only platform","Often","Rarely","Public Toilets","All of the above","5"
"2026/06/10 11:12:27 PM GMT+5:30","18–21","College Student","Delhi","Yes","1–2 times","College/School","Borrowed from a friend;Asked a stranger","2","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Sometimes","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 11:15:26 PM GMT+5:30","18–21","College Student","New Delhi","Yes","3–5 times","College/School;Public Event","Borrowed from a friend","3","Definitely Yes","Yes","Verified users;Ratings/reviews","Often","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 11:20:51 PM GMT+5:30","18–21","College Student","new delhi ","Yes","3–5 times","College/School;While Traveling;Public Event","Borrowed from a friend;Bought from a nearby shop","3","Probably Yes","Yes","Women-only platform","Often","Often","Colleges;Schools;Metro Stations;Public Toilets","All of the above","5"
"2026/06/10 11:24:30 PM GMT+5:30","18–21","College Student","New delhi","Yes","More than 5 times","College/School;While Traveling","Borrowed from a friend;Asked a stranger;Went home","4","Definitely Yes","Yes","Women-only platform;Ratings/reviews","Often","Sometimes","Colleges;Offices;Metro Stations;Malls;Hospitals","Find nearest pad vending machine","5"
"2026/06/10 11:26:22 PM GMT+5:30","26–35","Working Professional","Delhi","Yes","1–2 times","Office","Other","2","Probably Yes","Yes","Women-only platform","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 11:28:07 PM GMT+5:30","18–21","College Student","New delhi ","Yes","1–2 times","College/School","Borrowed from a friend","3","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews;Other","Always","Often","Colleges;Schools;Offices;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 11:28:27 PM GMT+5:30","18–21","College Student","Delhi","Yes","3–5 times","College/School;While Traveling","Borrowed from a friend;Asked a stranger","3","Definitely Yes","Yes","Women-only platform","Often","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/10 11:32:16 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School","Borrowed from a friend;Asked a stranger","3","Definitely Yes","Yes","Verified users;Women-only platform;Identity protection","Sometimes","Sometimes","Colleges;Schools;Offices;Metro Stations;Public Toilets","Request a pad nearby","5"
"2026/06/10 11:41:37 PM GMT+5:30","18–21","College Student","Delhi ","Yes","1–2 times","College/School","Borrowed from a friend","2","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection","Often","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 12:36:52 AM GMT+5:30","26–35","Working Professional","Delhi","Yes","1–2 times","Other","Bought from a nearby shop","2","Probably Yes","Yes","","Always","Often","Public Toilets","All of the above","4"
"2026/06/11 1:06:49 AM GMT+5:30","18–21","College Student","New Delhi","Yes","1–2 times","Metro/Bus Station","Bought from a nearby shop","3","Definitely Yes","Yes","Verified users;Women-only platform;Identity protection;Ratings/reviews","Often","Rarely","Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets","All of the above","5"
"2026/06/11 3:04:42 AM GMT+5:30","18–21","College Student","Gurgaon ","Yes","3–5 times","College/School","Borrowed from a friend","3","Probably Yes","Yes","Women-only platform;Identity protection","Sometimes","Sometimes","Colleges;Schools;Offices;Malls","All of the above","3"
"2026/06/11 5:38:57 AM GMT+5:30","22–25","Working Professional","Gurugram ","Yes","More than 5 times","College/School;Office;Metro/Bus Station;While Traveling","Borrowed from a friend;Bought from a nearby shop;Asked a stranger;Used temporary alternatives;Went home","5","Definitely Yes","Depends on the situation","Public meeting location;Verified users;Women-only platform;Identity protection","Always","Sometimes","Hospitals","Emergency support network","5"
"2026/06/11 6:31:36 AM GMT+5:30","22–25","Working Professional","New delhi","Yes","1–2 times","College/School","Borrowed from a friend;Asked a stranger","2","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection;Ratings/reviews","Always","Never","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 8:48:00 AM GMT+5:30","22–25","Working Professional","Bengaluru ","Yes","1–2 times","Office","Borrowed from a friend","2","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection","Always","Often","Colleges;Schools;Offices","Find nearest pad vending machine","5"
"2026/06/11 9:27:24 AM GMT+5:30","18–21","College Student","Gurgaon ","Yes","More than 5 times","College/School;Metro/Bus Station;While Traveling","Borrowed from a friend;Bought from a nearby shop","4","Definitely Yes","Yes","Other","Often","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 10:54:14 AM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School;Other","Borrowed from a friend","1","Definitely Yes","Yes","Women-only platform","Always","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 10:59:12 AM GMT+5:30","18–21","College Student","Jaipur ","Yes","1–2 times","College/School","Borrowed from a friend","1","Probably Yes","Depends on the situation","Other","Often","Never","Schools","All of the above","2"
"2026/06/11 11:02:44 AM GMT+5:30","18–21","College Student","Delhi ","Yes","More than 5 times","College/School","Borrowed from a friend;Bought from a nearby shop;Asked a stranger","3","Definitely Yes","Yes","Public meeting location;Verified users;Women-only platform","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Malls;Public Toilets;Hospitals","Find nearest pad vending machine","4"
"2026/06/11 12:12:58 PM GMT+5:30","26–35","Working Professional","New Delhi","Yes","3–5 times","While Traveling","Bought from a nearby shop","1","Definitely Yes","Yes","Other","Always","Always","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 2:05:31 PM GMT+5:30","18–21","College Student",".","No","Never","Other","Other","2","Probably Yes","Yes","Verified users;Women-only platform;Identity protection;Ratings/reviews","Often","Rarely","Colleges;Schools;Offices;Metro Stations;Malls","Locate nearest pharmacy","5"
"2026/06/11 2:21:50 PM GMT+5:30","18–21","College Student","delhi","Yes","1–2 times","College/School","Borrowed from a friend;Bought from a nearby shop","2","Probably Yes","Yes","Women-only platform;Ratings/reviews","Often","Often","Colleges;Schools;Offices;Metro Stations;Public Toilets;Hospitals","Find nearest pad vending machine","5"
"2026/06/11 2:33:42 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School","Borrowed from a friend","2","Maybe","Yes","Identity protection","Sometimes","Sometimes","Colleges;Schools;Offices;Hospitals","All of the above","3"
"2026/06/11 2:59:54 PM GMT+5:30","18–21","College Student","Delhi","Yes","1–2 times","While Traveling","Borrowed from a friend;Bought from a nearby shop;Asked a stranger;Went home","1","Definitely Yes","Yes","Public meeting location;Verified users","Often","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Malls;Hospitals","All of the above","4"
"2026/06/11 3:05:25 PM GMT+5:30","18–21","College Student","New Delhi","Yes","3–5 times","College/School;Mall","Borrowed from a friend;Asked a stranger","4","Definitely Yes","Yes","Public meeting location;Women-only platform;Identity protection","Often","Sometimes","Colleges;Schools;Malls;Public Toilets;Hospitals","Find nearest pad vending machine","5"
"2026/06/11 3:16:50 PM GMT+5:30","18–21","College Student","Delhi ","Yes","1–2 times","Metro/Bus Station;While Traveling","Borrowed from a friend;Went home","4","Probably Yes","Yes","Women-only platform","Sometimes","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","4"
"2026/06/11 3:45:22 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School;Other","Borrowed from a friend;Went home","3","Maybe","Yes","Verified users;Ratings/reviews","Sometimes","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Public Toilets;Hospitals","Find nearest pad vending machine","3"
"2026/06/11 3:47:30 PM GMT+5:30","","","","","","","","","","","","","","","",""
"2026/06/11 4:30:47 PM GMT+5:30","22–25","College Student","Delhi","Yes","1–2 times","College/School;While Traveling","Borrowed from a friend;Bought from a nearby shop","3","Definitely Yes","Yes","Verified users;Women-only platform;Identity protection","Sometimes","Never","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","Find nearest pad vending machine","3"
"2026/06/11 4:44:20 PM GMT+5:30","18–21","College Student","Delhi","Yes","3–5 times","College/School;Office;While Traveling;Public Event","Borrowed from a friend;Bought from a nearby shop;Used temporary alternatives","4","Probably Yes","Yes","Verified users;Ratings/reviews","Often","Rarely","Colleges;Schools;Offices;Malls;Public Toilets","All of the above","4"
"2026/06/11 4:56:17 PM GMT+5:30","18–21","College Student","delhi ","Yes","1–2 times","College/School;While Traveling","Borrowed from a friend;Bought from a nearby shop;Asked a stranger","2","Maybe","Depends on the situation","Public meeting location;Verified users;Women-only platform;Identity protection","Always","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","Find nearest pad vending machine","3"
"2026/06/11 5:26:20 PM GMT+5:30","18–21","College Student","Delhi","Yes","3–5 times","College/School;While Traveling","Borrowed from a friend;Bought from a nearby shop;Went home","4","Definitely Yes","Yes","Public meeting location;Women-only platform","Sometimes","Rarely","Colleges;Public Toilets","All of the above","5"
"2026/06/11 7:37:30 PM GMT+5:30","18–21","College Student","Delhi ","Yes","1–2 times","College/School;Metro/Bus Station;While Traveling","Borrowed from a friend;Asked a stranger","3","Maybe","Yes","Public meeting location;Verified users;Identity protection;Ratings/reviews","Always","Never","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","Find nearest pad vending machine","3"
"2026/06/11 7:51:59 PM GMT+5:30","18–21","College Student","delhi","Yes","1–2 times","College/School","Borrowed from a friend","3","Definitely Yes","Yes","Verified users;Women-only platform;Identity protection","Sometimes","Never","Colleges;Schools;Offices;Metro Stations;Railway Stations;Malls;Public Toilets;Hospitals","All of the above","5"
"2026/06/11 8:48:28 PM GMT+5:30","18–21","College Student","Delhi","Yes","1–2 times","College/School","Borrowed from a friend","4","Probably Yes","Yes","Women-only platform","Often","Often","Hospitals","All of the above","5"
"2026/06/11 8:48:45 PM GMT+5:30","18–21","College Student","Gurugram ","Yes","1–2 times","College/School;Other","Borrowed from a friend;Bought from a nearby shop","2","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Ratings/reviews","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","3"
"2026/06/11 8:53:19 PM GMT+5:30","18–21","College Student","Delhi ","Yes","1–2 times","College/School","Borrowed from a friend","3","Definitely Yes","Yes","Verified users","Always","Often","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","Request a pad nearby","3"
"2026/06/11 9:34:39 PM GMT+5:30","18–21","College Student","New Delhi ","Yes","1–2 times","College/School","Borrowed from a friend;Bought from a nearby shop","2","Definitely Yes","Yes","","Often","Often","Colleges;Schools;Offices;Metro Stations","Find nearest pad vending machine","5"
"2026/06/11 9:49:35 PM GMT+5:30","26–35","Working Professional","Delhi","Yes","3–5 times","College/School;Office;Metro/Bus Station;While Traveling","Borrowed from a friend;Went home","4","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection","Sometimes","Rarely","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","4"
"2026/06/11 9:55:01 PM GMT+5:30","26–35","Working Professional","DELHI ","Yes","3–5 times","College/School;Office","Borrowed from a friend;Used temporary alternatives","2","Probably No","Yes","Verified users;Women-only platform","Never","Sometimes","Colleges;Schools;Offices;Malls;Public Toilets","Locate nearest pharmacy","3"
"2026/06/11 10:06:02 PM GMT+5:30","18–21","College Student","delhi ","Yes","3–5 times","College/School;Office;While Traveling;Public Event;Other","Borrowed from a friend;Bought from a nearby shop;Went home","3","Probably Yes","Yes","Public meeting location;Verified users;Women-only platform;Identity protection","Often","Sometimes","Colleges;Schools;Offices;Metro Stations;Railway Stations;Bus Stands;Malls;Public Toilets;Hospitals","All of the above","5"
